iter	Passed	Remaining
0	8	2476
1	13	2055
2	19	1958
3	26	1994
4	33	1966
5	40	1997
6	47	1987
7	54	1999
8	62	2018
9	69	2024
10	77	2025
11	84	2038
12	92	2035
13	99	2022
14	106	2023
15	113	2008
16	120	1999
17	126	1987
18	133	1974
19	141	1978
20	148	1966
21	155	1965
22	162	1953
23	169	1949
24	175	1933
25	182	1918
26	189	1916
27	196	1908
28	204	1908
29	210	1898
30	218	1895
31	226	1900
32	234	1900
33	242	1896
34	249	1891
35	256	1883
36	263	1870
37	270	1865
38	277	1855
39	284	1849
40	290	1837
41	297	1826
42	304	1820
43	311	1811
44	318	1806
45	325	1795
46	332	1791
47	339	1782
48	347	1779
49	355	1778
50	363	1774
51	371	1770
52	377	1760
53	385	1756
54	392	1748
55	400	1744
56	407	1736
57	416	1737
58	423	1731
59	432	1730
60	441	1728
61	450	1728
62	458	1723
63	467	1723
64	475	1718
65	483	1715
66	491	1710
67	500	1708
68	509	1705
69	517	1701
70	526	1698
71	535	1695
72	543	1690
73	552	1687
74	561	1684
75	569	1679
76	577	1671
77	584	1662
78	591	1653
79	598	1645
80	605	1636
81	612	1629
82	619	1620
83	627	1614
84	634	1605
85	642	1598
86	649	1589
87	655	1579
88	663	1573
89	670	1564
90	678	1557
91	684	1548
92	691	1539
93	698	1530
94	705	1522
95	713	1515
96	720	1506
97	727	1500
98	734	1491
99	742	1484
100	748	1475
101	755	1466
102	763	1459
103	770	1451
104	777	1444
105	784	1436
106	792	1428
107	798	1420
108	805	1412
109	812	1404
110	820	1396
111	827	1388
112	833	1379
113	841	1372
114	848	1364
115	855	1357
116	862	1348
117	869	1341
118	877	1334
119	883	1325
120	891	1319
121	898	1311
122	906	1304
123	913	1296
124	921	1289
125	928	1282
126	936	1275
127	942	1266
128	949	1258
129	955	1250
130	962	1241
131	969	1234
132	976	1226
133	984	1219
134	991	1211
135	998	1203
136	1006	1197
137	1013	1189
138	1021	1183
139	1029	1176
140	1037	1170
141	1045	1163
142	1054	1157
143	1063	1152
144	1074	1148
145	1083	1142
146	1091	1136
147	1100	1130
148	1108	1123
149	1117	1117
150	1125	1110
151	1134	1104
152	1142	1097
153	1156	1096
154	1164	1089
155	1172	1082
156	1180	1075
157	1188	1068
158	1197	1062
159	1206	1055
160	1215	1049
161	1222	1041
162	1230	1033
163	1236	1025
164	1244	1017
165	1250	1009
166	1257	1001
167	1264	993
168	1271	985
169	1278	978
170	1286	970
171	1293	962
172	1300	954
173	1307	947
174	1316	940
175	1325	933
176	1333	926
177	1342	920
178	1351	913
179	1359	906
180	1368	899
181	1377	892
182	1385	886
183	1394	879
184	1402	871
185	1411	864
186	1418	857
187	1427	850
188	1435	842
189	1443	835
190	1451	828
191	1459	820
192	1466	812
193	1473	805
194	1480	797
195	1487	789
196	1495	781
197	1502	774
198	1510	766
199	1517	758
200	1525	751
201	1532	743
202	1540	735
203	1547	728
204	1556	721
205	1563	713
206	1571	706
207	1579	698
208	1587	691
209	1595	683
210	1603	676
211	1611	668
212	1620	661
213	1628	654
214	1637	647
215	1645	639
216	1653	632
217	1661	624
218	1669	617
219	1677	610
220	1685	602
221	1694	595
222	1702	587
223	1709	580
224	1717	572
225	1724	564
226	1730	556
227	1738	549
228	1745	541
229	1753	533
230	1760	525
231	1767	518
232	1776	510
233	1784	503
234	1791	495
235	1800	488
236	1808	480
237	1817	473
238	1825	465
239	1833	458
240	1841	450
241	1849	443
242	1857	435
243	1866	428
244	1875	420
245	1883	413
246	1891	405
247	1899	398
248	1908	390
249	1919	383
250	1927	376
251	1936	368
252	1944	361
253	1951	353
254	1958	345
255	1966	338
256	1973	330
257	1981	322
258	1988	314
259	1996	307
260	2002	299
261	2010	291
262	2018	283
263	2025	276
264	2033	268
265	2040	260
266	2049	253
267	2058	245
268	2067	238
269	2075	230
270	2083	222
271	2091	215
272	2099	207
273	2108	200
274	2116	192
275	2124	184
276	2133	177
277	2141	169
278	2150	161
279	2158	154
280	2166	146
281	2174	138
282	2183	131
283	2192	123
284	2201	115
285	2209	108
286	2217	100
287	2225	92
288	2232	84
289	2240	77
290	2246	69
291	2253	61
292	2261	54
293	2267	46
294	2275	38
295	2281	30
296	2289	23
297	2296	15
298	2304	7
299	2311	0
